;MEDIDAS;Características;Stock Actual;Salida de Material;¿Falta Material?;Cantidad Faltante
Terminal;"3/8""";So Hi;0;0;No;0
Terminal;"3/4""";So Hi;0;0;No;0
Terminal;"3/4"" x 1/2""";So Hi;0;0;No;0
Terminal;"1/2""";So Hi;0;0;No;0
Terminal;"1"" x 3/4""";Hi So;0;0;No;0
Terminal;"1/2"" x 3/8""";Hi So;0;0;No;0
Terminal;"1""";So Hi;0;0;No;0
Terminal;"2""";SO-HI;0;0;No;0
;;;0;0;No;0
Cañería;"3/8""";Tipo K;0;0;No;0
Cañería;"1/2""";TIPO K;0;0;No;0
Cañería;"3/4""";TIPO K;0;0;No;0
Cañería;"3/8""";Metros;0;0;No;0
Cañería;"1/2""";Metros;0;0;No;0
Cañería;"3/4""";Metros;0;0;No;0
Cañería;"1""";Metros;0;0;No;0
Cañería;"1 1/4""";Metros;0;0;No;0
Cañería;"1 1/2""";Metros;0;0;No;0
Cañería;"2""";Metros;0;0;No;0
Cañería;"2 1/2""";Metros;0;0;No;0
;;;0;0;No;0
Válvulas Bola;"3/8""";;0;0;No;0
Válvulas Bola;"1/2""";;0;0;No;0
Válvulas Bola;"3/4""";;0;0;No;0
Válvulas Bola;"3/4""";Hi-HE;0;0;No;0
Válvulas Bola;"1""";;0;0;No;0
Válvulas Bola;"2""";;0;0;No;0
Válvulas Bolas;"11/4""";;0;0;No;0
Válvulas Bola;"1 1/2""";;0;0;No;0
Llave de lujo;DIMAFLOW;;0;0;No;0
Llave de lujo;TAUMM;;0;0;No;0
Lave nibsa;"1/2""";Hi-HE;0;0;No;0
;;;0;0;No;0
Fundente;250 grs;;0;0;No;0
Teflón 1/2 gas;"1/2""";;0;0;No;0
Teflón 3/4 gas;"3/4""";;0;0;No;0
Unión pol;;;0;0;No;0
Terminal 1/4;;;0;0;No;0
"Flexible 1/2"" 60 cms";;;0;0;No;0
"Flexible 1/2"" 100 cms";;;0;0;No;0
Lija;;;0;0;No;0
;;;0;0;No;0
Regulador Fisher;1° etapa;SR64;0;0;No;0
Regulador Rego;1 Etapa;FB597;0;0;No;0
Regulador Rego;2° etapa;LV403B4;0;0;No;0
Regulador Rego;etapa única;LV404B4;0;0;No;0
Regulador Rego;2°etapa Inda;LV5503B8;0;0;No;0
